Amino Acid,Count
Ile,436
Lys,413
Gly,394
Leu,886
Tyr,505
Phe,885
Agr,123
stop,774
Gln,325
Thr,679
Asn,472
Cys,669
Ser,776
Arg,435
Val,548
Ala,375
His,332
Asp,290
Glu,270
Trp,263
Met,117
